path	line	kind	name	qualified_name_candidate	signature_excerpt
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	12	abbrev	ActorPriorityAssignment	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.ActorPriorityAssignment	abbrev ActorPriorityAssignment := List (ActorName × Nat) /-- `none` requests no actor-level priority policy. A `some` value requests actor-priority metadata that is not represented by the published global source or target AST. -/ abbrev ActorPriorityRequest :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	21	abbrev	ActorPriorityRequest	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.ActorPriorityRequest	abbrev ActorPriorityRequest := Option ActorPriorityAssignment /-- The source global model exposes no actor-priority metadata. -/ def sourceActorPriorityMetadata (_model : DTR.GlobalMultiStorePayloadModel) : ActorPriorityRequest :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	27	def	sourceActorPriorityMetadata	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.sourceActorPriorityMetadata	def sourceActorPriorityMetadata (_model : DTR.GlobalMultiStorePayloadModel) : ActorPriorityRequest :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	35	def	targetActorPriorityMetadata	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.targetActorPriorityMetadata	def targetActorPriorityMetadata (_program : LF.GlobalMultiStorePayloadProgram) : ActorPriorityRequest :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	41	theorem	sourceActorPriorityMetadata_eq_none	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.sourceActorPriorityMetadata_eq_none	theorem sourceActorPriorityMetadata_eq_none (model : DTR.GlobalMultiStorePayloadModel) : sourceActorPriorityMetadata model = none := by
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	47	theorem	targetActorPriorityMetadata_eq_none	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.targetActorPriorityMetadata_eq_none	theorem targetActorPriorityMetadata_eq_none (program : LF.GlobalMultiStorePayloadProgram) : targetActorPriorityMetadata program = none := by
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	56	def	ActorPriorityMetadataCorresponds	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.ActorPriorityMetadataCorresponds	def ActorPriorityMetadataCorresponds (model : DTR.GlobalMultiStorePayloadModel) (program : LF.GlobalMultiStorePayloadProgram) : Prop :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	63	theorem	actorPriorityMetadataCorresponds	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.actorPriorityMetadataCorresponds	theorem actorPriorityMetadataCorresponds (model : DTR.GlobalMultiStorePayloadModel) (program : LF.GlobalMultiStorePayloadProgram) : ActorPriorityMetadataCorresponds model program := by
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	73	def	RequestWithinSupportedFragment	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.RequestWithinSupportedFragment	def RequestWithinSupportedFragment (request : ActorPriorityRequest) : Prop :=
Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	78	theorem	noActorPriorityRequest_supported	Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary.noActorPriorityRequest_supported	theorem noActorPriorityRequest_supported : RequestWithinSupportedFragment none := by
